"ProductURL","Reviewer","Review","Date","Verified"
"https://www.amazon.com/sspa/click?ie=UTF8&spc=MToxMDU1MDUwOTUyMzE4OTQ4OjE3MzQ0NTI5NTY6c3BfYXRmOjIwMDAyMDQzOTQxNzIzMTo6MDo6&url=%2FAmazonBasics-Adjustable-14-Position-41-inch-Memory%2Fdp%2FB07Q3WM66Q%2Fref%3Dsr_1_1_ffob_sspa%3F_encoding%3DUTF8%26content-id%3Damzn1.sym.12129333-2117-4490-9c17-6d31baf0582a%26dib%3DeyJ2IjoiMSJ9.15GcOJell2qGsAGXGvgTIm4pUIB1zfdihEf57v0AF6FkvyG0y_gDX53Fkawf8lEn6NbcA_EAZdFuBsQlrcJmUKbw3WzCgGWXMIVvlJyAcIYL_vtLnU7uI32fDATqNCezUQlNr7Cguc50pAiR1mUgrmM3X8B4EsFSat3mt2OlE2TI3UEWWy3p602qsxdBdNXQKq3ZmEFF91_iugft822R0ckyPZyPcSR3jRzPLEIbLut-BeDlPoG7rZar1PqSX8NyS4JqX7wlyx2TSOaIbBKDrChrWCT3gTraspY2Fxf7_G8.gt0324laPyHbEL8lSnElAVSmCMxHnrbvYh8HlcgM8_4%26dib_tag%3Dse%26keywords%3Dgaming%2Bchairs%26pd_rd_r%3D87aac9cd-a5f0-4bfb-a6e4-9a4da9ff3166%26pd_rd_w%3Dp9T9V%26pd_rd_wg%3DAzrBz%26pf_rd_p%3D12129333-2117-4490-9c17-6d31baf0582a%26pf_rd_r%3D4P9Y4JVM26R69CW85MJ1%26qid%3D1734452956%26sr%3D8-1-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1","Setting It Up","This chair is comfortable and works","Reviewed in the United States on December 2, 2024",NA
"https://www.amazon.com/sspa/click?ie=UTF8&spc=MToxMDU1MDUwOTUyMzE4OTQ4OjE3MzQ0NTI5NTY6c3BfYXRmOjIwMDAyMDQzOTQxNzIzMTo6MDo6&url=%2FAmazonBasics-Adjustable-14-Position-41-inch-Memory%2Fdp%2FB07Q3WM66Q%2Fref%3Dsr_1_1_ffob_sspa%3F_encoding%3DUTF8%26content-id%3Damzn1.sym.12129333-2117-4490-9c17-6d31baf0582a%26dib%3DeyJ2IjoiMSJ9.15GcOJell2qGsAGXGvgTIm4pUIB1zfdihEf57v0AF6FkvyG0y_gDX53Fkawf8lEn6NbcA_EAZdFuBsQlrcJmUKbw3WzCgGWXMIVvlJyAcIYL_vtLnU7uI32fDATqNCezUQlNr7Cguc50pAiR1mUgrmM3X8B4EsFSat3mt2OlE2TI3UEWWy3p602qsxdBdNXQKq3ZmEFF91_iugft822R0ckyPZyPcSR3jRzPLEIbLut-BeDlPoG7rZar1PqSX8NyS4JqX7wlyx2TSOaIbBKDrChrWCT3gTraspY2Fxf7_G8.gt0324laPyHbEL8lSnElAVSmCMxHnrbvYh8HlcgM8_4%26dib_tag%3Dse%26keywords%3Dgaming%2Bchairs%26pd_rd_r%3D87aac9cd-a5f0-4bfb-a6e4-9a4da9ff3166%26pd_rd_w%3Dp9T9V%26pd_rd_wg%3DAzrBz%26pf_rd_p%3D12129333-2117-4490-9c17-6d31baf0582a%26pf_rd_r%3D4P9Y4JVM26R69CW85MJ1%26qid%3D1734452956%26sr%3D8-1-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1","","I used this product to sit on the floor with my puppy for training so she doesn’t think she can jump on the couch. I LOVE this thing. Very helpful for me & supportive of my back. Comfy to sit on.","Reviewed in the United States on May 26, 2024",NA
"https://www.amazon.com/sspa/click?ie=UTF8&spc=MToxMDU1MDUwOTUyMzE4OTQ4OjE3MzQ0NTI5NTY6c3BfYXRmOjIwMDAyMDQzOTQxNzIzMTo6MDo6&url=%2FAmazonBasics-Adjustable-14-Position-41-inch-Memory%2Fdp%2FB07Q3WM66Q%2Fref%3Dsr_1_1_ffob_sspa%3F_encoding%3DUTF8%26content-id%3Damzn1.sym.12129333-2117-4490-9c17-6d31baf0582a%26dib%3DeyJ2IjoiMSJ9.15GcOJell2qGsAGXGvgTIm4pUIB1zfdihEf57v0AF6FkvyG0y_gDX53Fkawf8lEn6NbcA_EAZdFuBsQlrcJmUKbw3WzCgGWXMIVvlJyAcIYL_vtLnU7uI32fDATqNCezUQlNr7Cguc50pAiR1mUgrmM3X8B4EsFSat3mt2OlE2TI3UEWWy3p602qsxdBdNXQKq3ZmEFF91_iugft822R0ckyPZyPcSR3jRzPLEIbLut-BeDlPoG7rZar1PqSX8NyS4JqX7wlyx2TSOaIbBKDrChrWCT3gTraspY2Fxf7_G8.gt0324laPyHbEL8lSnElAVSmCMxHnrbvYh8HlcgM8_4%26dib_tag%3Dse%26keywords%3Dgaming%2Bchairs%26pd_rd_r%3D87aac9cd-a5f0-4bfb-a6e4-9a4da9ff3166%26pd_rd_w%3Dp9T9V%26pd_rd_wg%3DAzrBz%26pf_rd_p%3D12129333-2117-4490-9c17-6d31baf0582a%26pf_rd_r%3D4P9Y4JVM26R69CW85MJ1%26qid%3D1734452956%26sr%3D8-1-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1","","Summary: it was super comfy at first, then the cushioning wore out on half of it... but it's comfy enough that you can still use it (especially with a cushion or pillow), and the frame is sturdy enough to survive me so I consider it a win!I use this a lot... because the only desk I have is a coffee table. My posture was DYING. This doesn't help a ton with my posture, but at least my back doesn't hurt anymore after a full day of zooms and Netflix. :)The cushion (as I said) was very comfortable at first... then one side of it wore out... but it's still comfortable with an extra cushion (which I use for posture anyway) so it's still pretty useful. I typically keep it unfolded all the way down and store it underneath the coffee table, and it fits very well. It's also very easy to shove it underneath a bed (kept it there for a while too). Overall I would definitely recommend it, but be aware it wont be perfect forever and you will have to get creative sometimes. :)","Reviewed in the United States on May 14, 2021",NA
"https://www.amazon.com/sspa/click?ie=UTF8&spc=MToxMDU1MDUwOTUyMzE4OTQ4OjE3MzQ0NTI5NTY6c3BfYXRmOjIwMDAyMDQzOTQxNzIzMTo6MDo6&url=%2FAmazonBasics-Adjustable-14-Position-41-inch-Memory%2Fdp%2FB07Q3WM66Q%2Fref%3Dsr_1_1_ffob_sspa%3F_encoding%3DUTF8%26content-id%3Damzn1.sym.12129333-2117-4490-9c17-6d31baf0582a%26dib%3DeyJ2IjoiMSJ9.15GcOJell2qGsAGXGvgTIm4pUIB1zfdihEf57v0AF6FkvyG0y_gDX53Fkawf8lEn6NbcA_EAZdFuBsQlrcJmUKbw3WzCgGWXMIVvlJyAcIYL_vtLnU7uI32fDATqNCezUQlNr7Cguc50pAiR1mUgrmM3X8B4EsFSat3mt2OlE2TI3UEWWy3p602qsxdBdNXQKq3ZmEFF91_iugft822R0ckyPZyPcSR3jRzPLEIbLut-BeDlPoG7rZar1PqSX8NyS4JqX7wlyx2TSOaIbBKDrChrWCT3gTraspY2Fxf7_G8.gt0324laPyHbEL8lSnElAVSmCMxHnrbvYh8HlcgM8_4%26dib_tag%3Dse%26keywords%3Dgaming%2Bchairs%26pd_rd_r%3D87aac9cd-a5f0-4bfb-a6e4-9a4da9ff3166%26pd_rd_w%3Dp9T9V%26pd_rd_wg%3DAzrBz%26pf_rd_p%3D12129333-2117-4490-9c17-6d31baf0582a%26pf_rd_r%3D4P9Y4JVM26R69CW85MJ1%26qid%3D1734452956%26sr%3D8-1-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1","","","Reviewed in the United States on September 1, 2023",NA
"https://www.amazon.com/sspa/click?ie=UTF8&spc=MToxMDU1MDUwOTUyMzE4OTQ4OjE3MzQ0NTI5NTY6c3BfYXRmOjIwMDAyMDQzOTQxNzIzMTo6MDo6&url=%2FAmazonBasics-Adjustable-14-Position-41-inch-Memory%2Fdp%2FB07Q3WM66Q%2Fref%3Dsr_1_1_ffob_sspa%3F_encoding%3DUTF8%26content-id%3Damzn1.sym.12129333-2117-4490-9c17-6d31baf0582a%26dib%3DeyJ2IjoiMSJ9.15GcOJell2qGsAGXGvgTIm4pUIB1zfdihEf57v0AF6FkvyG0y_gDX53Fkawf8lEn6NbcA_EAZdFuBsQlrcJmUKbw3WzCgGWXMIVvlJyAcIYL_vtLnU7uI32fDATqNCezUQlNr7Cguc50pAiR1mUgrmM3X8B4EsFSat3mt2OlE2TI3UEWWy3p602qsxdBdNXQKq3ZmEFF91_iugft822R0ckyPZyPcSR3jRzPLEIbLut-BeDlPoG7rZar1PqSX8NyS4JqX7wlyx2TSOaIbBKDrChrWCT3gTraspY2Fxf7_G8.gt0324laPyHbEL8lSnElAVSmCMxHnrbvYh8HlcgM8_4%26dib_tag%3Dse%26keywords%3Dgaming%2Bchairs%26pd_rd_r%3D87aac9cd-a5f0-4bfb-a6e4-9a4da9ff3166%26pd_rd_w%3Dp9T9V%26pd_rd_wg%3DAzrBz%26pf_rd_p%3D12129333-2117-4490-9c17-6d31baf0582a%26pf_rd_r%3D4P9Y4JVM26R69CW85MJ1%26qid%3D1734452956%26sr%3D8-1-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1","","The media could not be loaded.","Reviewed in the United States on November 8, 2024",NA
"https://www.amazon.com/sspa/click?ie=UTF8&spc=MToxMDU1MDUwOTUyMzE4OTQ4OjE3MzQ0NTI5NTY6c3BfYXRmOjIwMDAyMDQzOTQxNzIzMTo6MDo6&url=%2FAmazonBasics-Adjustable-14-Position-41-inch-Memory%2Fdp%2FB07Q3WM66Q%2Fref%3Dsr_1_1_ffob_sspa%3F_encoding%3DUTF8%26content-id%3Damzn1.sym.12129333-2117-4490-9c17-6d31baf0582a%26dib%3DeyJ2IjoiMSJ9.15GcOJell2qGsAGXGvgTIm4pUIB1zfdihEf57v0AF6FkvyG0y_gDX53Fkawf8lEn6NbcA_EAZdFuBsQlrcJmUKbw3WzCgGWXMIVvlJyAcIYL_vtLnU7uI32fDATqNCezUQlNr7Cguc50pAiR1mUgrmM3X8B4EsFSat3mt2OlE2TI3UEWWy3p602qsxdBdNXQKq3ZmEFF91_iugft822R0ckyPZyPcSR3jRzPLEIbLut-BeDlPoG7rZar1PqSX8NyS4JqX7wlyx2TSOaIbBKDrChrWCT3gTraspY2Fxf7_G8.gt0324laPyHbEL8lSnElAVSmCMxHnrbvYh8HlcgM8_4%26dib_tag%3Dse%26keywords%3Dgaming%2Bchairs%26pd_rd_r%3D87aac9cd-a5f0-4bfb-a6e4-9a4da9ff3166%26pd_rd_w%3Dp9T9V%26pd_rd_wg%3DAzrBz%26pf_rd_p%3D12129333-2117-4490-9c17-6d31baf0582a%26pf_rd_r%3D4P9Y4JVM26R69CW85MJ1%26qid%3D1734452956%26sr%3D8-1-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1","","So sturdy firm but soft to the skin and I could just fall asleep in this chair it is so comfortable!  Perfect size for me because I am just under 4'11"" so my head doesn't reach the top of chair back.  I highly recommend this game/TV chair...  Awesome quality all the way around...","Reviewed in the United States on March 2, 2024",NA
"https://www.amazon.com/sspa/click?ie=UTF8&spc=MToxMDU1MDUwOTUyMzE4OTQ4OjE3MzQ0NTI5NTY6c3BfYXRmOjIwMDAyMDQzOTQxNzIzMTo6MDo6&url=%2FAmazonBasics-Adjustable-14-Position-41-inch-Memory%2Fdp%2FB07Q3WM66Q%2Fref%3Dsr_1_1_ffob_sspa%3F_encoding%3DUTF8%26content-id%3Damzn1.sym.12129333-2117-4490-9c17-6d31baf0582a%26dib%3DeyJ2IjoiMSJ9.15GcOJell2qGsAGXGvgTIm4pUIB1zfdihEf57v0AF6FkvyG0y_gDX53Fkawf8lEn6NbcA_EAZdFuBsQlrcJmUKbw3WzCgGWXMIVvlJyAcIYL_vtLnU7uI32fDATqNCezUQlNr7Cguc50pAiR1mUgrmM3X8B4EsFSat3mt2OlE2TI3UEWWy3p602qsxdBdNXQKq3ZmEFF91_iugft822R0ckyPZyPcSR3jRzPLEIbLut-BeDlPoG7rZar1PqSX8NyS4JqX7wlyx2TSOaIbBKDrChrWCT3gTraspY2Fxf7_G8.gt0324laPyHbEL8lSnElAVSmCMxHnrbvYh8HlcgM8_4%26dib_tag%3Dse%26keywords%3Dgaming%2Bchairs%26pd_rd_r%3D87aac9cd-a5f0-4bfb-a6e4-9a4da9ff3166%26pd_rd_w%3Dp9T9V%26pd_rd_wg%3DAzrBz%26pf_rd_p%3D12129333-2117-4490-9c17-6d31baf0582a%26pf_rd_r%3D4P9Y4JVM26R69CW85MJ1%26qid%3D1734452956%26sr%3D8-1-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1","Amazon Customer","I bought it for my son he uses it as a gaming chair and he loves it he sits in it everyday","Reviewed in the United States on November 4, 2023",NA
"https://www.amazon.com/sspa/click?ie=UTF8&spc=MToxMDU1MDUwOTUyMzE4OTQ4OjE3MzQ0NTI5NTY6c3BfYXRmOjIwMDAyMDQzOTQxNzIzMTo6MDo6&url=%2FAmazonBasics-Adjustable-14-Position-41-inch-Memory%2Fdp%2FB07Q3WM66Q%2Fref%3Dsr_1_1_ffob_sspa%3F_encoding%3DUTF8%26content-id%3Damzn1.sym.12129333-2117-4490-9c17-6d31baf0582a%26dib%3DeyJ2IjoiMSJ9.15GcOJell2qGsAGXGvgTIm4pUIB1zfdihEf57v0AF6FkvyG0y_gDX53Fkawf8lEn6NbcA_EAZdFuBsQlrcJmUKbw3WzCgGWXMIVvlJyAcIYL_vtLnU7uI32fDATqNCezUQlNr7Cguc50pAiR1mUgrmM3X8B4EsFSat3mt2OlE2TI3UEWWy3p602qsxdBdNXQKq3ZmEFF91_iugft822R0ckyPZyPcSR3jRzPLEIbLut-BeDlPoG7rZar1PqSX8NyS4JqX7wlyx2TSOaIbBKDrChrWCT3gTraspY2Fxf7_G8.gt0324laPyHbEL8lSnElAVSmCMxHnrbvYh8HlcgM8_4%26dib_tag%3Dse%26keywords%3Dgaming%2Bchairs%26pd_rd_r%3D87aac9cd-a5f0-4bfb-a6e4-9a4da9ff3166%26pd_rd_w%3Dp9T9V%26pd_rd_wg%3DAzrBz%26pf_rd_p%3D12129333-2117-4490-9c17-6d31baf0582a%26pf_rd_r%3D4P9Y4JVM26R69CW85MJ1%26qid%3D1734452956%26sr%3D8-1-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1","Amazon Customer","Perfect size, perfect comfort, easy to change angle, love the color. Everything I was looking for.","Reviewed in the United States on September 15, 2022",NA
"https://www.amazon.com/sspa/click?ie=UTF8&spc=MToxMDU1MDUwOTUyMzE4OTQ4OjE3MzQ0NTI5NTY6c3BfYXRmOjIwMDAyMDQzOTQxNzIzMTo6MDo6&url=%2FAmazonBasics-Adjustable-14-Position-41-inch-Memory%2Fdp%2FB07Q3WM66Q%2Fref%3Dsr_1_1_ffob_sspa%3F_encoding%3DUTF8%26content-id%3Damzn1.sym.12129333-2117-4490-9c17-6d31baf0582a%26dib%3DeyJ2IjoiMSJ9.15GcOJell2qGsAGXGvgTIm4pUIB1zfdihEf57v0AF6FkvyG0y_gDX53Fkawf8lEn6NbcA_EAZdFuBsQlrcJmUKbw3WzCgGWXMIVvlJyAcIYL_vtLnU7uI32fDATqNCezUQlNr7Cguc50pAiR1mUgrmM3X8B4EsFSat3mt2OlE2TI3UEWWy3p602qsxdBdNXQKq3ZmEFF91_iugft822R0ckyPZyPcSR3jRzPLEIbLut-BeDlPoG7rZar1PqSX8NyS4JqX7wlyx2TSOaIbBKDrChrWCT3gTraspY2Fxf7_G8.gt0324laPyHbEL8lSnElAVSmCMxHnrbvYh8HlcgM8_4%26dib_tag%3Dse%26keywords%3Dgaming%2Bchairs%26pd_rd_r%3D87aac9cd-a5f0-4bfb-a6e4-9a4da9ff3166%26pd_rd_w%3Dp9T9V%26pd_rd_wg%3DAzrBz%26pf_rd_p%3D12129333-2117-4490-9c17-6d31baf0582a%26pf_rd_r%3D4P9Y4JVM26R69CW85MJ1%26qid%3D1734452956%26sr%3D8-1-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1","Redhead75","I like this, but I feel like it could have been better for the amount of money it costs. I got this to have an extra seat for when I am watching TV or playing video games. I like sitting on the floor, but also need some back support. I also wanted something I could easily put away when not in use. This can easily slide under a bed for storage.My major complaints are1.) The seat doesn't feel like a memory foam at all. It is very firm, but with no support. and become uncomfortable after a short period of time. I could not want to sit on this thing for longer than a movie or so.2.) The cover does not have a zipper or any easy way to remove and put it back on. If something gets on the cushion, it is spot clean only. I see a lot of people buying this for kids, so I could see that being an issue for others.Overall I don't think this thing is awful, I just think it is overpriced. If it was $30 or so less, I probably would have given it 4 or 5 stars.","Reviewed in Canada on February 27, 2023",NA
"https://www.amazon.com/sspa/click?ie=UTF8&spc=MToxMDU1MDUwOTUyMzE4OTQ4OjE3MzQ0NTI5NTY6c3BfYXRmOjIwMDAyMDQzOTQxNzIzMTo6MDo6&url=%2FAmazonBasics-Adjustable-14-Position-41-inch-Memory%2Fdp%2FB07Q3WM66Q%2Fref%3Dsr_1_1_ffob_sspa%3F_encoding%3DUTF8%26content-id%3Damzn1.sym.12129333-2117-4490-9c17-6d31baf0582a%26dib%3DeyJ2IjoiMSJ9.15GcOJell2qGsAGXGvgTIm4pUIB1zfdihEf57v0AF6FkvyG0y_gDX53Fkawf8lEn6NbcA_EAZdFuBsQlrcJmUKbw3WzCgGWXMIVvlJyAcIYL_vtLnU7uI32fDATqNCezUQlNr7Cguc50pAiR1mUgrmM3X8B4EsFSat3mt2OlE2TI3UEWWy3p602qsxdBdNXQKq3ZmEFF91_iugft822R0ckyPZyPcSR3jRzPLEIbLut-BeDlPoG7rZar1PqSX8NyS4JqX7wlyx2TSOaIbBKDrChrWCT3gTraspY2Fxf7_G8.gt0324laPyHbEL8lSnElAVSmCMxHnrbvYh8HlcgM8_4%26dib_tag%3Dse%26keywords%3Dgaming%2Bchairs%26pd_rd_r%3D87aac9cd-a5f0-4bfb-a6e4-9a4da9ff3166%26pd_rd_w%3Dp9T9V%26pd_rd_wg%3DAzrBz%26pf_rd_p%3D12129333-2117-4490-9c17-6d31baf0582a%26pf_rd_r%3D4P9Y4JVM26R69CW85MJ1%26qid%3D1734452956%26sr%3D8-1-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1","Kayla Wheeldon","It’s very small for the price but it feels pretty plush and nice. I got it for my reading corner for my classroom and my kids love to sit on it.","Reviewed in Canada on March 8, 2023",NA
