"Category","Product","Price","Rating","Description","Link"
"Gaming Chairs","Amazon Basics Adjustable 14-Position 41-inch Memory Foam Floor Chair - Navy, 41.3""D x 21.3""W x 6""H","73.","4.4 out of 5 stars 350  ","Amazon Basics Adjustable 14-Position 41-inch Memory Foam Floor Chair - Navy, 41.3""D x 21.3""W x 6""H","/sspa/click?ie=UTF8&spc=MTo1MzgyMzcxNDUyNzQ5MDUxOjE3MzQ0NDkzMTI6c3BfYXRmOjIwMDAyMDQzOTQxNzIzMTo6MDo6&url=%2FAmazonBasics-Adjustable-14-Position-41-inch-Memory%2Fdp%2FB07Q3WM66Q%2Fref%3Dsr_1_1_ffob_sspa%3F_encoding%3DUTF8%26content-id%3Damzn1.sym.12129333-2117-4490-9c17-6d31baf0582a%26dib%3DeyJ2IjoiMSJ9.c4sUuLf8lNqH76AmvMYzfHesOMsFokVL91dxY5Ckw3tgrTuhnrWbMM8ZmMG975h7C-eAQSje-Y3tZzq2aDDn1tmA7GdCHOqlEo60xdg1m2jtwHlfCTd-wtdu_Oyprg2UX9P6t-A3OEOFCmPICy3XBdbCPdIPymtIHOd0WuTFr_TDdC9ZXgl-xGGE_LBpYjivlA9_PjhDVNmgXVOikEvnx-tM1S7akYEY_0QLHnrKVV8EsSWcP8TQjxhJ1hekGf0DJuEwQ-DcUeX8THUGVK7MVChrWCT3gTraspY2Fxf7_G8.4HBuTth2wmEfsxH-rqUSde8nTy7ey8RPMPqyUn0iuQc%26dib_tag%3Dse%26keywords%3Dgaming%2Bchairs%26pd_rd_r%3D87aac9cd-a5f0-4bfb-a6e4-9a4da9ff3166%26pd_rd_w%3Dp9T9V%26pd_rd_wg%3DAzrBz%26pf_rd_p%3D12129333-2117-4490-9c17-6d31baf0582a%26pf_rd_r%3D4P9Y4JVM26R69CW85MJ1%26qid%3D1734449312%26sr%3D8-1-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1"
"Gaming Chairs","GTRACING Gaming Chair with Footrest, Ergonomic Computer Game Desk Chair, Reclining Gamer Chair Seat Height Adjustment, Swivel Rocker with Headrest and Lumbar (Navy Blue)","119.","4.3 out of 5 stars 252  ","GTRACING Gaming Chair with Footrest, Ergonomic Computer Game Desk Chair, Reclining Gamer Chair Seat Height Adjustment, Swivel Rocker with Headrest and Lumbar (Navy Blue)","/sspa/click?ie=UTF8&spc=MTo1MzgyMzcxNDUyNzQ5MDUxOjE3MzQ0NDkzMTI6c3BfYXRmOjIwMDAyMDQzOTQxNzIzMTo6MDo6&url=%2FAmazonBasics-Adjustable-14-Position-41-inch-Memory%2Fdp%2FB07Q3WM66Q%2Fref%3Dsr_1_1_ffob_sspa%3F_encoding%3DUTF8%26content-id%3Damzn1.sym.12129333-2117-4490-9c17-6d31baf0582a%26dib%3DeyJ2IjoiMSJ9.c4sUuLf8lNqH76AmvMYzfHesOMsFokVL91dxY5Ckw3tgrTuhnrWbMM8ZmMG975h7C-eAQSje-Y3tZzq2aDDn1tmA7GdCHOqlEo60xdg1m2jtwHlfCTd-wtdu_Oyprg2UX9P6t-A3OEOFCmPICy3XBdbCPdIPymtIHOd0WuTFr_TDdC9ZXgl-xGGE_LBpYjivlA9_PjhDVNmgXVOikEvnx-tM1S7akYEY_0QLHnrKVV8EsSWcP8TQjxhJ1hekGf0DJuEwQ-DcUeX8THUGVK7MVChrWCT3gTraspY2Fxf7_G8.4HBuTth2wmEfsxH-rqUSde8nTy7ey8RPMPqyUn0iuQc%26dib_tag%3Dse%26keywords%3Dgaming%2Bchairs%26pd_rd_r%3D87aac9cd-a5f0-4bfb-a6e4-9a4da9ff3166%26pd_rd_w%3Dp9T9V%26pd_rd_wg%3DAzrBz%26pf_rd_p%3D12129333-2117-4490-9c17-6d31baf0582a%26pf_rd_r%3D4P9Y4JVM26R69CW85MJ1%26qid%3D1734449312%26sr%3D8-1-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1"
"Gaming Chairs","Dowinx Gaming Chair Fabric with Pocket Spring Cushion, Massage Game Chair Cloth with Headrest, Ergonomic Computer Chair with Footrest 290LBS, Black","189.","4.2 out of 5 stars 3,972  ","Dowinx Gaming Chair Fabric with Pocket Spring Cushion, Massage Game Chair Cloth with Headrest, Ergonomic Computer Chair with Footrest 290LBS, Black","/sspa/click?ie=UTF8&spc=MTo1MzgyMzcxNDUyNzQ5MDUxOjE3MzQ0NDkzMTI6c3BfYXRmOjIwMDAyMDQzOTQxNzIzMTo6MDo6&url=%2FAmazonBasics-Adjustable-14-Position-41-inch-Memory%2Fdp%2FB07Q3WM66Q%2Fref%3Dsr_1_1_ffob_sspa%3F_encoding%3DUTF8%26content-id%3Damzn1.sym.12129333-2117-4490-9c17-6d31baf0582a%26dib%3DeyJ2IjoiMSJ9.c4sUuLf8lNqH76AmvMYzfHesOMsFokVL91dxY5Ckw3tgrTuhnrWbMM8ZmMG975h7C-eAQSje-Y3tZzq2aDDn1tmA7GdCHOqlEo60xdg1m2jtwHlfCTd-wtdu_Oyprg2UX9P6t-A3OEOFCmPICy3XBdbCPdIPymtIHOd0WuTFr_TDdC9ZXgl-xGGE_LBpYjivlA9_PjhDVNmgXVOikEvnx-tM1S7akYEY_0QLHnrKVV8EsSWcP8TQjxhJ1hekGf0DJuEwQ-DcUeX8THUGVK7MVChrWCT3gTraspY2Fxf7_G8.4HBuTth2wmEfsxH-rqUSde8nTy7ey8RPMPqyUn0iuQc%26dib_tag%3Dse%26keywords%3Dgaming%2Bchairs%26pd_rd_r%3D87aac9cd-a5f0-4bfb-a6e4-9a4da9ff3166%26pd_rd_w%3Dp9T9V%26pd_rd_wg%3DAzrBz%26pf_rd_p%3D12129333-2117-4490-9c17-6d31baf0582a%26pf_rd_r%3D4P9Y4JVM26R69CW85MJ1%26qid%3D1734449312%26sr%3D8-1-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1#customerReviews"
"Gaming Chairs","Flash Furniture X10 High-Back LeatherSoft Racing Style Gaming Chair with Flip-Up Arms, Ergonomic Padded Swivel Computer Chair, Blue/Black","125.","$30.00 off coupon appliedSave $30.00  with coupon ","Flash Furniture X10 High-Back LeatherSoft Racing Style Gaming Chair with Flip-Up Arms, Ergonomic Padded Swivel Computer Chair, Blue/Black","/sspa/click?ie=UTF8&spc=MTo1MzgyMzcxNDUyNzQ5MDUxOjE3MzQ0NDkzMTI6c3BfYXRmOjIwMDAyMDQzOTQxNzIzMTo6MDo6&url=%2FAmazonBasics-Adjustable-14-Position-41-inch-Memory%2Fdp%2FB07Q3WM66Q%2Fref%3Dsr_1_1_ffob_sspa%3F_encoding%3DUTF8%26content-id%3Damzn1.sym.12129333-2117-4490-9c17-6d31baf0582a%26dib%3DeyJ2IjoiMSJ9.c4sUuLf8lNqH76AmvMYzfHesOMsFokVL91dxY5Ckw3tgrTuhnrWbMM8ZmMG975h7C-eAQSje-Y3tZzq2aDDn1tmA7GdCHOqlEo60xdg1m2jtwHlfCTd-wtdu_Oyprg2UX9P6t-A3OEOFCmPICy3XBdbCPdIPymtIHOd0WuTFr_TDdC9ZXgl-xGGE_LBpYjivlA9_PjhDVNmgXVOikEvnx-tM1S7akYEY_0QLHnrKVV8EsSWcP8TQjxhJ1hekGf0DJuEwQ-DcUeX8THUGVK7MVChrWCT3gTraspY2Fxf7_G8.4HBuTth2wmEfsxH-rqUSde8nTy7ey8RPMPqyUn0iuQc%26dib_tag%3Dse%26keywords%3Dgaming%2Bchairs%26pd_rd_r%3D87aac9cd-a5f0-4bfb-a6e4-9a4da9ff3166%26pd_rd_w%3Dp9T9V%26pd_rd_wg%3DAzrBz%26pf_rd_p%3D12129333-2117-4490-9c17-6d31baf0582a%26pf_rd_r%3D4P9Y4JVM26R69CW85MJ1%26qid%3D1734449312%26sr%3D8-1-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1"
"Gaming Chairs","BestOffice High-Back Gaming Chair PC Office Chair Computer Racing Chair PU Desk Task Chair Ergonomic Executive Swivel Rolling Chair with Lumbar Support for Back Pain Women, Men,White","94.","4.3 out of 5 stars 3,251  ","BestOffice High-Back Gaming Chair PC Office Chair Computer Racing Chair PU Desk Task Chair Ergonomic Executive Swivel Rolling Chair with Lumbar Support for Back Pain Women, Men,White","#"
"Gaming Chairs","Gaming Chair, Backrest and Seat Height Adjustable Swivel Recliner Racing Office Computer Ergonomic Video Game Chair with Footrest and Lumbar Support, Black/Blue","119.","4.4 out of 5 stars 22,238  ","Gaming Chair, Backrest and Seat Height Adjustable Swivel Recliner Racing Office Computer Ergonomic Video Game Chair with Footrest and Lumbar Support, Black/Blue","/GTRACING-Footrest-Ergonomic-Reclining-Adjustment/dp/B0CD7XGLGD/ref=sr_1_2?_encoding=UTF8&content-id=amzn1.sym.12129333-2117-4490-9c17-6d31baf0582a&dib=eyJ2IjoiMSJ9.c4sUuLf8lNqH76AmvMYzfHesOMsFokVL91dxY5Ckw3tgrTuhnrWbMM8ZmMG975h7C-eAQSje-Y3tZzq2aDDn1tmA7GdCHOqlEo60xdg1m2jtwHlfCTd-wtdu_Oyprg2UX9P6t-A3OEOFCmPICy3XBdbCPdIPymtIHOd0WuTFr_TDdC9ZXgl-xGGE_LBpYjivlA9_PjhDVNmgXVOikEvnx-tM1S7akYEY_0QLHnrKVV8EsSWcP8TQjxhJ1hekGf0DJuEwQ-DcUeX8THUGVK7MVChrWCT3gTraspY2Fxf7_G8.4HBuTth2wmEfsxH-rqUSde8nTy7ey8RPMPqyUn0iuQc&dib_tag=se&keywords=gaming+chairs&pd_rd_r=87aac9cd-a5f0-4bfb-a6e4-9a4da9ff3166&pd_rd_w=p9T9V&pd_rd_wg=AzrBz&pf_rd_p=12129333-2117-4490-9c17-6d31baf0582a&pf_rd_r=4P9Y4JVM26R69CW85MJ1&qid=1734449312&sr=8-2"
"Gaming Chairs","Dowinx Gaming Chair Fabric with Pocket Spring Cushion, High Back Ergonomic Computer Chair with Footrest for Adults, Massage Lumbar Support Swivel Game Chair for Office Gaming 300LBS, Beige","159.","3.8 out of 5 stars 2,839  ","Dowinx Gaming Chair Fabric with Pocket Spring Cushion, High Back Ergonomic Computer Chair with Footrest for Adults, Massage Lumbar Support Swivel Game Chair for Office Gaming 300LBS, Beige","/GTRACING-Footrest-Ergonomic-Reclining-Adjustment/dp/B0CD7XGLGD/ref=cs_sr_dp_1?_encoding=UTF8&content-id=amzn1.sym.12129333-2117-4490-9c17-6d31baf0582a&dib=eyJ2IjoiMSJ9.c4sUuLf8lNqH76AmvMYzfHesOMsFokVL91dxY5Ckw3tgrTuhnrWbMM8ZmMG975h7C-eAQSje-Y3tZzq2aDDn1tmA7GdCHOqlEo60xdg1m2jtwHlfCTd-wtdu_Oyprg2UX9P6t-A3OEOFCmPICy3XBdbCPdIPymtIHOd0WuTFr_TDdC9ZXgl-xGGE_LBpYjivlA9_PjhDVNmgXVOikEvnx-tM1S7akYEY_0QLHnrKVV8EsSWcP8TQjxhJ1hekGf0DJuEwQ-DcUeX8THUGVK7MVChrWCT3gTraspY2Fxf7_G8.4HBuTth2wmEfsxH-rqUSde8nTy7ey8RPMPqyUn0iuQc&dib_tag=se&keywords=gaming+chairs&pd_rd_r=87aac9cd-a5f0-4bfb-a6e4-9a4da9ff3166&pd_rd_w=p9T9V&pd_rd_wg=AzrBz&pf_rd_p=12129333-2117-4490-9c17-6d31baf0582a&pf_rd_r=4P9Y4JVM26R69CW85MJ1&qid=1734449312&sr=8-2"
"Gaming Chairs","YSSOA Gaming Chair, Computer Chair with Footrest, Height Adjustable & 90°-135° Tilt Function, Swivel Recliner Ergonomic Racing Style Video Game Chair with Lumbar Support (Red)","125.","4.2 out of 5 stars 504  ","YSSOA Gaming Chair, Computer Chair with Footrest, Height Adjustable & 90°-135° Tilt Function, Swivel Recliner Ergonomic Racing Style Video Game Chair with Lumbar Support (Red)","/GTRACING-Footrest-Ergonomic-Reclining-Adjustment/dp/B0CD7ZKVYQ/ref=cs_sr_dp_2?_encoding=UTF8&content-id=amzn1.sym.12129333-2117-4490-9c17-6d31baf0582a&dib=eyJ2IjoiMSJ9.c4sUuLf8lNqH76AmvMYzfHesOMsFokVL91dxY5Ckw3tgrTuhnrWbMM8ZmMG975h7C-eAQSje-Y3tZzq2aDDn1tmA7GdCHOqlEo60xdg1m2jtwHlfCTd-wtdu_Oyprg2UX9P6t-A3OEOFCmPICy3XBdbCPdIPymtIHOd0WuTFr_TDdC9ZXgl-xGGE_LBpYjivlA9_PjhDVNmgXVOikEvnx-tM1S7akYEY_0QLHnrKVV8EsSWcP8TQjxhJ1hekGf0DJuEwQ-DcUeX8THUGVK7MVChrWCT3gTraspY2Fxf7_G8.4HBuTth2wmEfsxH-rqUSde8nTy7ey8RPMPqyUn0iuQc&dib_tag=se&keywords=gaming+chairs&pd_rd_r=87aac9cd-a5f0-4bfb-a6e4-9a4da9ff3166&pd_rd_w=p9T9V&pd_rd_wg=AzrBz&pf_rd_p=12129333-2117-4490-9c17-6d31baf0582a&pf_rd_r=4P9Y4JVM26R69CW85MJ1&qid=1734449312&sr=8-2"
"Gaming Chairs","GTRACING Gaming Chair with Footrest Speakers Video Game Chair Bluetooth Music Heavy Duty Ergonomic Computer Office Desk Chair Red","129.","$20.00 off coupon appliedSave $20.00  with coupon ","GTRACING Gaming Chair with Footrest Speakers Video Game Chair Bluetooth Music Heavy Duty Ergonomic Computer Office Desk Chair Red","/GTRACING-Footrest-Ergonomic-Reclining-Adjustment/dp/B0CD7W9JPR/ref=cs_sr_dp_3?_encoding=UTF8&content-id=amzn1.sym.12129333-2117-4490-9c17-6d31baf0582a&dib=eyJ2IjoiMSJ9.c4sUuLf8lNqH76AmvMYzfHesOMsFokVL91dxY5Ckw3tgrTuhnrWbMM8ZmMG975h7C-eAQSje-Y3tZzq2aDDn1tmA7GdCHOqlEo60xdg1m2jtwHlfCTd-wtdu_Oyprg2UX9P6t-A3OEOFCmPICy3XBdbCPdIPymtIHOd0WuTFr_TDdC9ZXgl-xGGE_LBpYjivlA9_PjhDVNmgXVOikEvnx-tM1S7akYEY_0QLHnrKVV8EsSWcP8TQjxhJ1hekGf0DJuEwQ-DcUeX8THUGVK7MVChrWCT3gTraspY2Fxf7_G8.4HBuTth2wmEfsxH-rqUSde8nTy7ey8RPMPqyUn0iuQc&dib_tag=se&keywords=gaming+chairs&pd_rd_r=87aac9cd-a5f0-4bfb-a6e4-9a4da9ff3166&pd_rd_w=p9T9V&pd_rd_wg=AzrBz&pf_rd_p=12129333-2117-4490-9c17-6d31baf0582a&pf_rd_r=4P9Y4JVM26R69CW85MJ1&qid=1734449312&sr=8-2"
"Gaming Chairs","Gaming Chair High Back Ergonomic Computer Racing Chair Adjustable Office Chair with Footrest, Lumbar Support Swivel Chair - Upgraded Version BlackPurple","88.","3.8 out of 5 stars 63  ","Gaming Chair High Back Ergonomic Computer Racing Chair Adjustable Office Chair with Footrest, Lumbar Support Swivel Chair - Upgraded Version BlackPurple","/GTRACING-Footrest-Ergonomic-Reclining-Adjustment/dp/B0CD7WQGRF/ref=cs_sr_dp_4?_encoding=UTF8&content-id=amzn1.sym.12129333-2117-4490-9c17-6d31baf0582a&dib=eyJ2IjoiMSJ9.c4sUuLf8lNqH76AmvMYzfHesOMsFokVL91dxY5Ckw3tgrTuhnrWbMM8ZmMG975h7C-eAQSje-Y3tZzq2aDDn1tmA7GdCHOqlEo60xdg1m2jtwHlfCTd-wtdu_Oyprg2UX9P6t-A3OEOFCmPICy3XBdbCPdIPymtIHOd0WuTFr_TDdC9ZXgl-xGGE_LBpYjivlA9_PjhDVNmgXVOikEvnx-tM1S7akYEY_0QLHnrKVV8EsSWcP8TQjxhJ1hekGf0DJuEwQ-DcUeX8THUGVK7MVChrWCT3gTraspY2Fxf7_G8.4HBuTth2wmEfsxH-rqUSde8nTy7ey8RPMPqyUn0iuQc&dib_tag=se&keywords=gaming+chairs&pd_rd_r=87aac9cd-a5f0-4bfb-a6e4-9a4da9ff3166&pd_rd_w=p9T9V&pd_rd_wg=AzrBz&pf_rd_p=12129333-2117-4490-9c17-6d31baf0582a&pf_rd_r=4P9Y4JVM26R69CW85MJ1&qid=1734449312&sr=8-2"
